id	lastname	firstname	faculty	institute	institution_long
FIS_27627	Wucherer	Diana	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_29824	Michalowsky	Bernhard	MED	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
FIS_20809	Kuwert	NN	MED	Klinik und Poliklinik für Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
FIS_2098	Witte	Jeannine	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_26951	Groß	Stefan	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_2270	Glaubitz	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_20399	Block	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_45019	Schlicht	NN	MNF	Institut für Mathematik und Informatik	Institut für Mathematik und Informatik
FIS_39933	Helm	Christiane	MNF	Institut für Physik	Institut für Physik / AG Weiche Materie und Biophysik
FIS_362	Podmelle	Fred	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen
FIS_24955	Heckmann	Matthias	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin
FIS_1604	Thiele	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_2217	Greinacher	Andreas	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_24965	Bakchoul	Tamam	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_1763	Gottschling-Lang	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_20977	Langanke	NN	THEO	Theologische Fakultät	Theologische Fakultät / LS für Systematische Theologie
FIS_10169	Fleßa	Steffen	RSF	Fachbereich Wirtschaftswissenschaften	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
FIS_726	Maier	NN	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_1385	Menges	Pia	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_2224	Heidecke	NN	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_19199	van	Julia	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_31708	Hegenbart	NN	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_2278	Kuß	Andreas Walter	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_17977	Jensen	Lars Riff	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_405	Patrzyk	Maciej	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_713	Busemann	Alexandra	MED	Klinik und Poliklinik für Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
FIS_1010	Busemann	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
FIS_750	Beule	Achim G	MED	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
FIS_822	Jedlitschky	Gabriele	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_895	Grube	Markus	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_921	Mosyagin	Igor	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_996	Lange	NN	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_2226	Merk	NN	MED	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
FIS_28	Freyberger	Harald	MED	Klinik und Poliklinik für Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
FIS_285	Welk	Alexander	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_2558	Alkilzy	Mohammad	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_47249	Altarabulsi	NN	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_39239	Müller	Carsten	MNF	Zoologisches Institut und Museum	Zoologisches Institut und Museum / AG Allgemeine und Systematische Zoologie
FIS_586	Sümnig	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_45443	Greffin	NN	MED	Institut für Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
FIS_45188	Lembcke	NN	MNF	Institut für Psychologie	Institut für Psychologie
FIS_32875	Weber	NN	MNF	Institut für Psychologie	Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik
FIS_18426	Weißmann	Robert	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_806	Schmidt	Christian Andreas	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
FIS_935	Przybylski	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
FIS_1036	Grabarczyk	Piotr	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
FIS_45446	Bahls	Martin	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_21399	Lillig	Christopher	MED	Institut für Medizinische Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
FIS_32884	Gaßner	Christine	MNF	Institut für Mathematik und Informatik	Institut für Mathematik und Informatik / AG Berechenbarkeitstheorie über algebraischen Strukturen
FIS_25788	van	Laura-Kristina	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_38959	Schlüter	Rabea	MNF	Institut für Mikrobiologie	Institut für Mikrobiologie / Abteilung Bakterienphysiologie
FIS_942	Meyer	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
FIS_2045	Kastirke	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
FIS_25780	Gürtler	Diana	MED	Institut für Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
FIS_45047	Loureiro	NN	MNF	Institut für Psychologie	Institut für Psychologie
FIS_44916	Geisler	NN	MNF	Institut für Psychologie	Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik
FIS_1328	Jürgens	NN	MED	Klinik und Poliklinik für Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
FIS_2216	Tost	Frank	MED	Klinik und Poliklinik für Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
FIS_1334	Großjohann	Rico	MED	Klinik und Poliklinik für Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
FIS_1384	van	Neeltje	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_25112	Stentzel	Ulrike	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_19210	Frank	NN	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_1410	Bockholdt	Britta	MED	Institut für Rechtsmedizin	Institut für Rechtsmedizin
FIS_20806	Schomerus	Georg	MED	Klinik und Poliklinik für Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
FIS_1130	Kühn	Jens-Peter	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_1275	Mensel	NN	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_2229	Hosten	Norbert	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_2314	Krüger	Paul-Christian	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_1617	Ittermann	Till	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
FIS_1637	Puls	NN	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_413	Siegmund	Werner	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
FIS_1134	Oswald	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
FIS_1651	Keiser	Markus Wolfdiedrich	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
FIS_1865	Jia	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
FIS_21762	Pfannmöller	NN	MED	Zentrum für Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
FIS_1792	Ender	NN	MED	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
FIS_368	Müller	Carsten	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
FIS_1597	Großmann	NN	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
FIS_1813	Barthlen	NN	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
FIS_1195	Schiller	Thilo	MED	Klinik und Poliklinik für Urologie	Klinik und Poliklinik für Urologie
FIS_2039	Burchardt	Martin	MED	Klinik und Poliklinik für Urologie	Klinik und Poliklinik für Urologie
FIS_2263	Hoppe	NN	MED	Klinik und Poliklinik für Urologie	Klinik und Poliklinik für Urologie
FIS_917	Bahr	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_2165	Habes	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
FIS_420	Wehnert	NN	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_424	Schröder	Winnie	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_1994	Meinke	NN	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_2006	Najm	Juliane	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_2251	Felbor	Ute	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_24967	Spiegler	NN	MED	Institut für Humangenetik	Institut für Humangenetik
FIS_31457	Braatz	NN	MED	Institut für Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
FIS_44967	Jahn	NN	MNF	Institut für Psychologie	Institut für Psychologie / AG Kognitionspsychologie
FIS_1339	Teumer	Alexander	MED	Interfakultäres Institut für Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
FIS_1351	Homuth	Georg	MED	Interfakultäres Institut für Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
FIS_2234	Völker	Uwe	MED	Interfakultäres Institut für Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
FIS_2254	Ernst	NN	MED	Interfakultäres Institut für Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
FIS_1050	Kraft	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_1081	Simon	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_2507	Kraft	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_24927	Krüger	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_63757	Vogt	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_2090	Gärtner	Simone	MED	Beschaffung	Beschaffung/Verbrauch
FIS_3480	Schüler	NN	MED	Beschaffung	Beschaffung/Verbrauch
FIS_2305	Grotevendt	NN	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_65029	Lohr	NN	MED	Institut für Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
FIS_1820	Calvisi	Diego Francesco	MED	Institut für Pathologie	Institut für Pathologie
FIS_2248	Dombrowski	Frank Stephan	MED	Institut für Pathologie	Institut für Pathologie
FIS_2001	Lode	Holger	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
FIS_993	Lange	Anja	MED	Zentrum für Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin
FIS_1423	Lutze	Stine	MED	Klinik und Poliklinik für Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
FIS_1897	Daeschlein	NN	MED	Klinik und Poliklinik für Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
FIS_2232	Jünger	Michael	MED	Klinik und Poliklinik für Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
FIS_3585	von	NN	MED	Klinik und Poliklinik für Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
FIS_1345	Napp	Matthias	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_27620	Gümbel	NN	MED	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
FIS_31450	von	Thomas	MED	Institut für Hygiene und Umweltmedizin	Institut für Hygiene und Umweltmedizin
FIS_43803	Haase	NN	MNF	Institut für Mathematik und Informatik	Institut für Mathematik und Informatik / AG Stochastik-Fraktale
FIS_1868	Wolke	Carmen	MED	Institut für Medizinische Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
FIS_2249	Lendeckel	Uwe	MED	Institut für Medizinische Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
FIS_410	Meisel	Peter	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_1575	Holtfreter	Birte	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_2185	Kocher	NN	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_27913	Zhan	NN	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_27966	Schützhold	NN	MED	Zentrum für Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
FIS_1251	Böttcher	Kerstin	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_20396	Steiner	NN	MED	Institut für Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
FIS_1544	Fluhr	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_2125	Scheiber	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_2303	Sendler	Matthias	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_48202	Schick	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_48207	Omercevic	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_48208	Brandt	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
FIS_1755	Busch	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_2015	Strohbach	NN	MED	Zentrum für Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
FIS_35211	Thevs	NN	MNF	Institut für Botanik und Landschaftsökologie	Institut für Botanik und Landschaftsökologie / AG Landschaftsökologie und Ökosystemdynamik
FIS_53679	Beckmann	Volker	RSF	Fachbereich Wirtschaftswissenschaften	Fachbereich Wirtschaftswissenschaften / LS für AVWL und Landschaftsökonomie
FIS_615	Khaw	NN	MED	Klinik und Poliklinik für Neurologie	Klinik und Poliklinik für Neurologie
