author_name	lastname	forename	person_ID	faculty	institution	institution_long
Kindermann K	NN	NN	FIS_25660	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Friedel C	Friedel	Claudius	FIS_1753	Universitätsmedizin Greifswald	Neurochirurgie	Klinik und Poliklinik für Neurochirurgie
Vogelgesang S	Vogelgesang	Silke	FIS_239	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Bien-Möller S	Bien-Möller	Sandra	FIS_784	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Rauch B	NN	NN	FIS_17988	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Böhm A	NN	NN	FIS_19598	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Herzog S	Herzog	Susann	FIS_20395	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Fink M	NN	NN	FIS_69805	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Havemann C	NN	NN	FIS_1629	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Ritter C	Ritter	Christoph	FIS_434	Mathematisch-Naturwissenschaftliche Fakultät	Pharmazie	Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter)
Meinke-Franze C	Meinke-Franze	Claudia	FIS_963	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Dreier A	NN	NN	FIS_1537	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Fiß T	NN	NN	FIS_1619	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Böwing G	NN	NN	FIS_21345	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Eichler T	NN	NN	FIS_26605	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Köhler L	NN	NN	FIS_27626	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Wucherer D	Wucherer	Diana	FIS_27627	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Michalowsky B	Michalowsky	Bernhard	FIS_29824	Universitätsmedizin Greifswald	Neurodegenerative Erkrankungen	Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald
Kuwert P	NN	NN	FIS_20809	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Witte J	Witte	Jeannine	FIS_2098	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Groß S	Gross	Stefan	FIS_26951	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Glaubitz M	NN	NN	FIS_2270	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Block S	NN	NN	FIS_20399	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Schlicht R	NN	NN	FIS_45019	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik
Helm C	Helm	Christiane	FIS_39933	Mathematisch-Naturwissenschaftliche Fakultät	Physik	Institut für Physik / AG Weiche Materie und Biophysik
Podmelle F	Podmelle	Fred	FIS_362	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen
Heckmann M	Heckmann	Matthias	FIS_24955	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin
Thiele T	NN	NN	FIS_1604	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Greinacher A	Greinacher	Andreas	FIS_2217	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Bakchoul T	Bakchoul	Tamam	FIS_24965	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Gottschling-Lang A	NN	NN	FIS_1763	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Langanke M	NN	NN	FIS_20977	Theologische Fakultät	Theologie	Theologische Fakultät / LS für Systematische Theologie
Fleßa S	Flessa	Steffen	FIS_10169	Rechts- und Staatswissenschaftliche Fakultät	Wiwi	Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement
Maier S	NN	NN	FIS_726	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Menges P	Menges	Pia	FIS_1385	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Heidecke C	NN	NN	FIS_2224	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
van der Linde J	van der Linde	Julia	FIS_19199	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Hegenbart A	NN	NN	FIS_31708	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Kuß A	Kuss	Andreas Walter	FIS_2278	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Jensen L	Jensen	Lars Riff	FIS_17977	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Patrzyk M	Patrzyk	Maciej	FIS_405	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Busemann A	Busemann	Alexandra	FIS_713	Universitätsmedizin Greifswald	Chirurgie	Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie
Busemann C	NN	NN	FIS_1010	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Beule A	Beule	Achim G	FIS_750	Universitätsmedizin Greifswald	HNO	Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
Jedlitschky G	Jedlitschky	Gabriele	FIS_822	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Grube M	Grube	Markus	FIS_895	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Mosyagin I	Mosyagin	Igor	FIS_921	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Allgemeine Pharmakologie
Lange J	NN	NN	FIS_996	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Merk H	NN	NN	FIS_2226	Universitätsmedizin Greifswald	Orthopädie	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
Freyberger H	Freyberger	Harald	FIS_28	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Welk A	Welk	Alexander	FIS_285	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
Alkilzy M	Alkilzy	Mohammad	FIS_2558	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
Altarabulsi M	NN	NN	FIS_47249	Universitätsmedizin Greifswald	Zahn-, Mund- und Kieferheilkunde	Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde
Müller C	Müller	Carsten	FIS_39239	Mathematisch-Naturwissenschaftliche Fakultät	Zoologie	Zoologisches Institut und Museum / AG Allgemeine und Systematische Zoologie
Sümnig A	NN	NN	FIS_586	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Greffin K	NN	NN	FIS_45443	Universitätsmedizin Greifswald	Immunologie und Transfusionsmedizin	Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin
Lembcke H	NN	NN	FIS_45188	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie
Weber H	NN	NN	FIS_32875	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik
Weißmann R	Weissmann	Robert	FIS_18426	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Schmidt C	Schmidt	Christian Andreas	FIS_806	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Przybylski G	NN	NN	FIS_935	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Grabarczyk P	Grabarczyk	Piotr	FIS_1036	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin C
Bahls M	Bahls	Martin	FIS_45446	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin B
Lillig C	Lillig	Christopher	FIS_21399	Universitätsmedizin Greifswald	Mediz. Biochemie und Molekularbiologie	Institut für Medizinische Biochemie und Molekularbiologie
Gaßner C	Gassner	Christine	FIS_32884	Mathematisch-Naturwissenschaftliche Fakultät	Mathematik und Informatik	Institut für Mathematik und Informatik / AG Berechenbarkeitstheorie über algebraischen Strukturen
van Diepen L	van Diepen	Laura-Kristina	FIS_25788	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Schlüter R	Schlüter	Rabea	FIS_38959	Mathematisch-Naturwissenschaftliche Fakultät	Mikrobiologie	Institut für Mikrobiologie / Abteilung Bakterienphysiologie
Meyer C	NN	NN	FIS_942	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Kastirke N	NN	NN	FIS_2045	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Gürtler D	Gürtler	Diana	FIS_25780	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Loureiro de Assuncao V	NN	NN	FIS_45047	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie
Geisler F	NN	NN	FIS_44916	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik
Jürgens C	NN	NN	FIS_1328	Universitätsmedizin Greifswald	Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
Tost F	Tost	Frank	FIS_2216	Universitätsmedizin Greifswald	Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
Großjohann R	Grossjohann	Rico	FIS_1334	Universitätsmedizin Greifswald	Augenheilkunde	Klinik und Poliklinik für Augenheilkunde
van den Berg N	van den Berg	Neeltje	FIS_1384	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Stentzel U	Stentzel	Ulrike	FIS_25112	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Frank M	NN	NN	FIS_19210	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
Bockholdt B	Bockholdt	Britta	FIS_1410	Universitätsmedizin Greifswald	Rechtsmedizin	Institut für Rechtsmedizin
Schomerus G	Schomerus	Georg	FIS_20806	Universitätsmedizin Greifswald	Psychiatrie und Psychotherapie	Klinik und Poliklinik für Psychiatrie und Psychotherapie
Kühn J	Kühn	Jens-Peter	FIS_1130	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Mensel B	NN	NN	FIS_1275	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Hosten N	Hosten	Norbert	FIS_2229	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Krüger P	Krüger	Paul-Christian	FIS_2314	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Ittermann T	Ittermann	Till	FIS_1617	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. SHIP KEF
Puls D	NN	NN	FIS_1637	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Siegmund W	Siegmund	Werner	FIS_413	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Oswald S	NN	NN	FIS_1134	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Keiser M	Keiser	Markus Wolfdiedrich	FIS_1651	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Jia J	NN	NN	FIS_1865	Universitätsmedizin Greifswald	Pharmakologie	Institut für Pharmakologie / Abt. Klinische Pharmakologie
Pfannmöller J	NN	NN	FIS_21762	Universitätsmedizin Greifswald	Radiologie	Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie
Ender S	NN	NN	FIS_1792	Universitätsmedizin Greifswald	Orthopädie	Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
Müller C	M?ller	Carsten	FIS_368	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
Großmann D	NN	NN	FIS_1597	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
Barthlen W	NN	NN	FIS_1813	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie
Schiller T	Schiller	Thilo	FIS_1195	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Burchardt M	Burchardt	Martin	FIS_2039	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Hoppe L	NN	NN	FIS_2263	Universitätsmedizin Greifswald	Urologie	Klinik und Poliklinik für Urologie
Bahr J	NN	NN	FIS_917	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Habes M	NN	NN	FIS_2165	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health
Wehnert M	NN	NN	FIS_420	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Schröder W	Schröder	Winnie	FIS_424	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Meinke P	NN	NN	FIS_1994	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Najm J	Najm	Juliane	FIS_2006	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Felbor U	Felbor	Ute	FIS_2251	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Spiegler S	NN	NN	FIS_24967	Universitätsmedizin Greifswald	Humangenetik	Institut für Humangenetik
Braatz J	NN	NN	FIS_31457	Universitätsmedizin Greifswald	Community Medicine	Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin
Jahn G	NN	NN	FIS_44967	Mathematisch-Naturwissenschaftliche Fakultät	Psychologie	Institut für Psychologie / AG Kognitionspsychologie
Teumer A	Teumer	Alexander	FIS_1339	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Homuth G	Homuth	Georg	FIS_1351	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Völker U	Völker	Uwe	FIS_2234	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Ernst F	NN	NN	FIS_2254	Universitätsmedizin Greifswald	Genetik und Funktionelle Genomforschung	Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung
Kraft M	NN	NN	FIS_1050	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Simon P	NN	NN	FIS_1081	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Kraft K	NN	NN	FIS_2507	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Krüger J	NN	NN	FIS_24927	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Vogt L	NN	NN	FIS_63757	Universitätsmedizin Greifswald	Innere Medizin	Zentrum für Innere Medizin / Klinik für Innere Medizin A
Gärtner S	Gärtner	Simone	FIS_2090	Universitätsmedizin Greifswald	Beschaffung	Beschaffung/Verbrauch
Schüler N	NN	NN	FIS_3480	Universitätsmedizin Greifswald	Beschaffung	Beschaffung/Verbrauch
Grotevendt A	NN	NN	FIS_2305	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Lohr J	NN	NN	FIS_65029	Universitätsmedizin Greifswald	Klinische Chemie und Laboratoriumsmedizin	Institut für Klinische Chemie und Laboratoriumsmedizin
Calvisi D	Calvisi	Diego Francesco	FIS_1820	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Dombrowski F	Dombrowski	Frank Stephan	FIS_2248	Universitätsmedizin Greifswald	Pathologie	Institut für Pathologie
Lode H	Lode	Holger	FIS_2001	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Allgemeine Pädiatrie
Lange A	Lange	Anja	FIS_993	Universitätsmedizin Greifswald	Kinder- und Jugendmedizin	Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin
Lutze S	Lutze	Stine	FIS_1423	Universitätsmedizin Greifswald	Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
Daeschlein G	NN	NN	FIS_1897	Universitätsmedizin Greifswald	Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
Jünger M	Jünger	Michael	FIS_2232	Universitätsmedizin Greifswald	Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
von Podewils S	NN	NN	FIS_3585	Universitätsmedizin Greifswald	Hautkrankheiten	Klinik und Poliklinik für Hautkrankheiten
Napp M	Napp	Matthias	FIS_1345	Universitätsmedizin Greifswald	Unfallchirurgie	Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
