;author_name;person_ID;inst_ID;institution_long;faculty_ID;faculty;lastname;forename;institution
84;Ritter C;434;236;Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter);2;Mathematisch-Naturwissenschaftliche Fakultät;Ritter;Christoph;Institut für Pharmazie, AK Klinische Pharmazie (Leitung: Prof. Dr. Christoph Ritter)
85;Meinke-Franze C;963;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Meinke-Franze;Claudia;Institut für Community Medicine
88;Dreier A;1537;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
91;Fiß T;1619;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;NaN;NaN;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
93;Böwing G;21345;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;NaN;NaN;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
94;Eichler T;26605;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;NaN;NaN;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
95;Köhler L;27626;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;NaN;NaN;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
96;Wucherer D;27627;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;Wucherer;Diana;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
97;Michalowsky B;29824;67;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock / Greifswald Teilstandort Greifswald;1;Universitätsmedizin Greifswald;Michalowsky;Bernhard;Deutsches Zentrum für Neurodegenerative Erkrankungen Rostock
98;Kuwert P;20809;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Psychiatrie und Psychotherapie
103;Witte J;2098;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Witte;Jeannine;Zentrum für Innere Medizin
105;Groß S;26951;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Gross;Stefan;Zentrum für Innere Medizin
106;Glaubitz M;2270;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
107;Block S;20399;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
110;Schlicht R;45019;154;Institut für Mathematik und Informatik;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Mathematik und Informatik
112;Helm C;39933;218;Institut für Physik / AG Weiche Materie und Biophysik;2;Mathematisch-Naturwissenschaftliche Fakultät;Helm;Christiane;Institut für Physik
113;Podmelle F;362;24;Zentrum für Zahn-, Mund- und Kieferheilkunde / Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie/Plastische Operationen;1;Universitätsmedizin Greifswald;Podmelle;Fred;Zentrum für Zahn-, Mund- und Kieferheilkunde
114;Heckmann M;24955;21;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinder- und Jugendmedizin / Neonatologie und Pädiatrische Intensivmedizin;1;Universitätsmedizin Greifswald;Heckmann;Matthias;Zentrum für Kinder- und Jugendmedizin
115;Thiele T;1604;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
116;Greinacher A;2217;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;Greinacher;Andreas;Institut für Immunologie und Transfusionsmedizin
117;Bakchoul T;24965;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;Bakchoul;Tamam;Institut für Immunologie und Transfusionsmedizin
119;Gottschling-Lang A;1763;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
121;Langanke M;20977;349;Theologische Fakultät / LS für Systematische Theologie;5;Theologische Fakultät;NaN;NaN;Theologische Fakultät
123;Fleßa S;10169;337;Fachbereich Wirtschaftswissenschaften / LS für ABWL und Gesundheitsmanagement;4;Rechts- und Staatswissenschaftliche Fakultät;Flessa;Steffen;Fachbereich Wirtschaftswissenschaften
124;Maier S;726;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Chirurgie
125;Menges P;1385;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;Menges;Pia;Klinik und Poliklinik für Chirurgie
126;Heidecke C;2224;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Chirurgie
127;van der Linde J;19199;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;van der Linde;Julia;Klinik und Poliklinik für Chirurgie
128;Hegenbart A;31708;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Chirurgie
129;Kuß A;2278;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Kuss;Andreas Walter;Institut für Humangenetik
130;Jensen L;17977;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Jensen;Lars Riff;Institut für Humangenetik
131;Patrzyk M;405;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;Patrzyk;Maciej;Klinik und Poliklinik für Chirurgie
132;Busemann A;713;3;Klinik und Poliklinik für Chirurgie / Abt. für Allgemeine Chirurgie, Viszeral-, Thorax und Gefäßchirurgie;1;Universitätsmedizin Greifswald;Busemann;Alexandra;Klinik und Poliklinik für Chirurgie
134;Busemann C;1010;10;Zentrum für Innere Medizin / Klinik für Innere Medizin C;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
135;Beule A;750;15;Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie;1;Universitätsmedizin Greifswald;Beule;Achim G;Klinik und Poliklinik für Hals-Nasen-Ohrenkrankheiten, Kopf- und Halschirurgie
137;Jedlitschky G;822;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Jedlitschky;Gabriele;Institut für Pharmakologie
138;Grube M;895;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Grube;Markus;Institut für Pharmakologie
142;Mosyagin I;921;46;Institut für Pharmakologie / Abt. Allgemeine Pharmakologie;1;Universitätsmedizin Greifswald;Mosyagin;Igor;Institut für Pharmakologie
144;Lange J;996;2;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
145;Merk H;2226;22;Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
146;Freyberger H;28;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;Freyberger;Harald;Klinik und Poliklinik für Psychiatrie und Psychotherapie
148;Welk A;285;27;"Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde";1;Universitätsmedizin Greifswald;Welk;Alexander;Zentrum für Zahn-, Mund- und Kieferheilkunde
150;Alkilzy M;2558;27;"Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde";1;Universitätsmedizin Greifswald;Alkilzy;Mohammad;Zentrum für Zahn-, Mund- und Kieferheilkunde
151;Altarabulsi M;47249;27;"Zentrum für Zahn-, Mund- und Kieferheilkunde / Poliklinik für Zahnerhaltung,Parodontologie, Endodontologie; Präventive Zahnmedizin und Kinderzahnheilkunde";1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Zahn-, Mund- und Kieferheilkunde
152;Müller C;39239;245;Zoologisches Institut und Museum / AG Allgemeine und Systematische Zoologie;2;Mathematisch-Naturwissenschaftliche Fakultät;Müller;Carsten;Zoologisches Institut und Museum
157;Sümnig A;586;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
159;Greffin K;45443;53;Institut für Immunologie und Transfusionsmedizin / Abt. Transfusionsmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Immunologie und Transfusionsmedizin
160;Lembcke H;45188;151;Institut für Psychologie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Psychologie
161;Weber H;32875;192;Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Psychologie
165;Weißmann R;18426;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Weissmann;Robert;Institut für Humangenetik
166;Schmidt C;806;10;Zentrum für Innere Medizin / Klinik für Innere Medizin C;1;Universitätsmedizin Greifswald;Schmidt;Christian Andreas;Zentrum für Innere Medizin
167;Przybylski G;935;10;Zentrum für Innere Medizin / Klinik für Innere Medizin C;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Innere Medizin
168;Grabarczyk P;1036;10;Zentrum für Innere Medizin / Klinik für Innere Medizin C;1;Universitätsmedizin Greifswald;Grabarczyk;Piotr;Zentrum für Innere Medizin
169;Bahls M;45446;7;Zentrum für Innere Medizin / Klinik für Innere Medizin B;1;Universitätsmedizin Greifswald;Bahls;Martin;Zentrum für Innere Medizin
170;Lillig C;21399;44;Institut für Medizinische Biochemie und Molekularbiologie;1;Universitätsmedizin Greifswald;Lillig;Christopher;Institut für Medizinische Biochemie und Molekularbiologie
171;Gaßner C;32884;353;Institut für Mathematik und Informatik / AG Berechenbarkeitstheorie über algebraischen Strukturen;2;Mathematisch-Naturwissenschaftliche Fakultät;Gassner;Christine;Institut für Mathematik und Informatik
174;van Diepen L;25788;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;van Diepen;Laura-Kristina;Institut für Humangenetik
175;Schlüter R;38959;238;Institut für Mikrobiologie / Abteilung Bakterienphysiologie;2;Mathematisch-Naturwissenschaftliche Fakultät;Schlüter;Rabea;Institut für Mikrobiologie
178;Meyer C;942;57;Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
179;Kastirke N;2045;57;Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
180;Gürtler D;25780;57;Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin;1;Universitätsmedizin Greifswald;Gürtler;Diana;Institut für Community Medicine
181;Loureiro de Assuncao V;45047;151;Institut für Psychologie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Psychologie
183;Geisler F;44916;192;Institut für Psychologie / AG Differentielle und Persönlichkeitspsychologie/Psychologische Diagnostik;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Psychologie
185;Jürgens C;1328;14;Klinik und Poliklinik für Augenheilkunde;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Augenheilkunde
186;Tost F;2216;14;Klinik und Poliklinik für Augenheilkunde;1;Universitätsmedizin Greifswald;Tost;Frank;Klinik und Poliklinik für Augenheilkunde
187;Großjohann R;1334;14;Klinik und Poliklinik für Augenheilkunde;1;Universitätsmedizin Greifswald;Grossjohann;Rico;Klinik und Poliklinik für Augenheilkunde
188;van den Berg N;1384;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;van den Berg;Neeltje;Institut für Community Medicine
190;Stentzel U;25112;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;Stentzel;Ulrike;Institut für Community Medicine
197;Frank M;19210;2;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Unfall-, Wiederherstellungschirurgie und Rehabilitative Medizin
198;Bockholdt B;1410;41;Institut für Rechtsmedizin;1;Universitätsmedizin Greifswald;Bockholdt;Britta;Institut für Rechtsmedizin
199;Schomerus G;20806;35;Klinik und Poliklinik für Psychiatrie und Psychotherapie;1;Universitätsmedizin Greifswald;Schomerus;Georg;Klinik und Poliklinik für Psychiatrie und Psychotherapie
203;Kühn J;1130;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Kühn;Jens-Peter;Zentrum für Radiologie
204;Mensel B;1275;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
205;Hosten N;2229;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Hosten;Norbert;Zentrum für Radiologie
206;Krüger P;2314;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;Krüger;Paul-Christian;Zentrum für Radiologie
207;Ittermann T;1617;64;Institut für Community Medicine / Abt. SHIP KEF;1;Universitätsmedizin Greifswald;Ittermann;Till;Institut für Community Medicine
210;Puls D;1637;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
212;Siegmund W;413;47;Institut für Pharmakologie / Abt. Klinische Pharmakologie;1;Universitätsmedizin Greifswald;Siegmund;Werner;Institut für Pharmakologie
213;Oswald S;1134;47;Institut für Pharmakologie / Abt. Klinische Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
214;Keiser M;1651;47;Institut für Pharmakologie / Abt. Klinische Pharmakologie;1;Universitätsmedizin Greifswald;Keiser;Markus Wolfdiedrich;Institut für Pharmakologie
215;Jia J;1865;47;Institut für Pharmakologie / Abt. Klinische Pharmakologie;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Pharmakologie
220;Pfannmöller J;21762;29;Zentrum für Radiologie / Institut für Diagnostische Radiologie und Neuroradiologie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Radiologie
222;Ender S;1792;22;Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Orthopädie und Orthopädische Chirurgie
225;Müller C;368;37;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie;1;Universitätsmedizin Greifswald;M?ller;Carsten;Zentrum für Kinder- und Jugendmedizin
226;Großmann D;1597;37;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
227;Barthlen W;1813;37;Zentrum für Kinder- und Jugendmedizin / Klinik und Poliklinik für Kinderchirurgie;1;Universitätsmedizin Greifswald;NaN;NaN;Zentrum für Kinder- und Jugendmedizin
233;Schiller T;1195;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;Schiller;Thilo;Klinik und Poliklinik für Urologie
234;Burchardt M;2039;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;Burchardt;Martin;Klinik und Poliklinik für Urologie
235;Hoppe L;2263;32;Klinik und Poliklinik für Urologie;1;Universitätsmedizin Greifswald;NaN;NaN;Klinik und Poliklinik für Urologie
236;Bahr J;917;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
237;Habes M;2165;63;Institut für Community Medicine / Abt. Versorgungsepidemiologie und Community Health;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
239;Wehnert M;420;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Humangenetik
240;Schröder W;424;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Schröder;Winnie;Institut für Humangenetik
241;Meinke P;1994;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Humangenetik
243;Najm J;2006;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Najm;Juliane;Institut für Humangenetik
244;Felbor U;2251;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;Felbor;Ute;Institut für Humangenetik
245;Spiegler S;24967;56;Institut für Humangenetik;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Humangenetik
246;Braatz J;31457;57;Institut für Community Medicine / Abteilung für Präventionsforschung und Sozialmedizin;1;Universitätsmedizin Greifswald;NaN;NaN;Institut für Community Medicine
247;Jahn G;44967;198;Institut für Psychologie / AG Kognitionspsychologie;2;Mathematisch-Naturwissenschaftliche Fakultät;NaN;NaN;Institut für Psychologie
251;Teumer A;1339;66;Interfakultäres Institut für Genetik und Funktionelle Genomforschung / Abt. Funktionelle Genomforschung;1;Universitätsmedizin Greifswald;Teumer;Alexander;Interfakultäres Institut für Genetik und Funktionelle Genomforschung
